START	    STOP

STANDARD
1614983742 1614983768
1614983835 1614983861
1614983861 1614983887
1614983887 1614983913
1614983913 1614983939
1614983939 1614983965
1614983965 1614983991
1614983991 1614984017
1614984017 1614984043
1614984043 1614984070

RESIDUE
1614984145 1614984172
1614984172 1614984199
1614984199 1614984226
1614984226 1614984252
1614984252 1614984279
1614984279 1614984306
1614984306 1614984333
1614984333 1614984359
1614984359 1614984386
1614984386 1614984413
